"time","as7.y","add.y"
10980,119673168.9865573,121945329.1920882
11040,119673168.9865573,119236256.7905476
11120,119673168.9865573,118421818.4779948
11160,119673168.9865573,118649301.8387032
11160,119817106.2079529,118649301.8387032
11200,119817106.2079529,118996171.0793296
11280,119817106.2079529,119566251.2948843
11340,119817106.2079529,119744300.0775386
11340,120887292.9033084,119744300.0775386
11360,120887292.9033084,119868387.4241382
11440,120887292.9033084,120942783.9841321
11520,120887292.9033084,121203704.5125812
11520,121030878.3245345,121203704.5125812
11600,121030878.3245345,121199869.1257587
11680,121030878.3245345,121145660.635014
11700,121030878.3245345,121128089.4304675
11700,120601608.6573565,121128089.4304675
11760,120601608.6573565,120820465.882014
11840,120601608.6573565,120508690.4036993
11880,120601608.6573565,120485622.1315173
11880,120085494.1618992,120485622.1315173
11920,120085494.1618992,120330031.7243541
12000,120085494.1618992,119943165.0444213
12060,120085494.1618992,119911927.8366894
12060,120335661.5962138,119911927.8366894
12080,120335661.5962138,119949132.6095112
12160,120335661.5962138,120270568.3520711
12240,120335661.5962138,120381588.7962075
12240,120139501.6354898,120381588.7962075
12320,120139501.6354898,120202831.3685734
12400,120139501.6354898,120097011.1765684
12420,120139501.6354898,120093060.4820771
12420,121727020.7945484,120093060.4820771
12480,121727020.7945484,121074822.1313789
12560,121727020.7945484,122124004.884287
12600,121727020.7945484,122185592.0397795
12600,118980219.1202427,122185592.0397795
12640,118980219.1202427,121199362.5798849
12720,118980219.1202427,118653208.935632
12780,118980219.1202427,118251801.3159142
12780,122370134.590287,118251801.3159142
12800,122370134.590287,118585447.6523264
12880,122370134.590287,122175888.2942058
12960,122370134.590287,123232204.2772076
12960,118983673.8877743,123232204.2772076
13040,118983673.8877743,120010569.0775537
13120,118983673.8877743,118211893.2099615
13140,118983673.8877743,118152424.1308749
13140,121495142.568854,118152424.1308749
13200,121495142.568854,119871320.0906236
13280,121495142.568854,121865668.2806778
13320,121495142.568854,122069949.3815901
13320,119699901.3232789,122069949.3815901
13360,119699901.3232789,121425804.2992949
13440,119699901.3232789,119630325.2990334
13500,119699901.3232789,119291264.3134102
13500,121395675.0659892,119291264.3134102
13520,121395675.0659892,119445829.0424256
13600,121395675.0659892,121254663.3674653
13680,121395675.0659892,121809727.5703644
13680,121887586.6402934,121809727.5703644
13760,121887586.6402934,122093852.2495256
13840,121887586.6402934,122140620.419821
13860,121887586.6402934,122115175.9747404
13860,120680996.6457593,122115175.9747404
13920,120680996.6457593,121286426.9085698
14000,120680996.6457593,120419611.0799182
14040,120680996.6457593,120355493.7450596
14040,120841014.7249799,120355493.7450596
14080,120841014.7249799,120452890.4915024
14160,120841014.7249799,120737636.0337385
14220,120841014.7249799,120827732.1052142
14220,120308928.4045855,120827732.1052142
14240,120308928.4045855,120792651.9186816
14320,120308928.4045855,120290695.8908286
14400,120308928.4045855,120157155.1815885
14400,120290457.3446903,120157155.1815885
14400.00000288019,120290457.3446903,120157155.1821556
14400.00000288019,150290457.3446903,120157155.1821556
14480,150290457.3446903,158338022.181251
14560,150290457.3446903,152326409.3584957
14580,150290457.3446903,151034902.3122147
14580,144193824.815578,151034902.3122147
14640,144193824.815578,145476597.367042
14720,144193824.815578,141631528.6131831
14760,144193824.815578,141716819.1851343
14760,151012245.8565559,141716819.1851343
14800,151012245.8565559,144532019.9239525
14880,151012245.8565559,151437881.8421713
14940,151012245.8565559,152656796.3951672
14940,149083386.7846562,152656796.3951672
14960,149083386.7846562,152453082.5780563
15040,149083386.7846562,149881595.6621949
15120,149083386.7846562,148846004.1191988
15120,146890547.0688319,148846004.1191988
15200,146890547.0688319,146949246.8222958
15280,146890547.0688319,146141607.8033621
15300,146890547.0688319,146162717.1430305
15300,150456721.8828445,146162717.1430305
15360,150456721.8828445,148576718.4562657
15440,150456721.8828445,151181648.2327698
15480,150456721.8828445,151390978.1553832
15480,147811988.4741361,151390978.1553832
15520,147811988.4741361,150391938.4702189
15600,147811988.4741361,147713011.8976874
15660,147811988.4741361,147209504.0363933
15660,148124575.9701711,147209504.0363933
15680,148124575.9701711,147241102.8401314
15760,148124575.9701711,147799221.9381296
15840,148124575.9701711,148090050.1889015
15840,148099431.9322632,148090050.1889015
15920,148099431.9322632,148121119.9960739
16000,148099431.9322632,148103858.5910579
16020,148099431.9322632,148101327.1795254
16020,152010091.6291558,148101327.1795254
16080,152010091.6291558,150492348.3548367
16160,152010091.6291558,153026546.8032429
16200,152010091.6291558,153161616.1775662
16200,149284262.2134199,153161616.1775662
16240,149284262.2134199,152066676.3182989
16320,149284262.2134199,149226987.2726646
16380,149284262.2134199,148682262.9250337
16380,148870108.4500267,148682262.9250337
16400,148870108.4500267,148644454.8645404
16480,148870108.4500267,148499240.5282511
16560,148870108.4500267,148618863.1774108
16560,147853965.4472924,148618863.1774108
16640,147853965.4472924,147883934.3577329
16720,147853965.4472924,147518369.9256907
16740,147853965.4472924,147526300.8763666
16740,146024782.1465212,147526300.8763666
16800,146024782.1465212,146507774.1350077
